id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1967242173159788629,💥Addressed Jain community at Shivneri https://t.co/IHR5JDd9A4,https://x.com/ankitatIIMA/status/1967242173159788629,tweet,Dr. Shah,@ankitatIIMA,11,1,70,738,11181,9,2025-09-14 20:30:58,https://pbs.twimg.com/media/G00LgeaawAEg3RQ.jpg,
1967239251701141912,"💥Bhartiya students who finished education in the west at the end of the rope.

Can't say anything to the parents because they had already taken loans for their children to get it completed. https://t.co/tPrze0WzmM",https://x.com/ankitatIIMA/status/1967239251701141912,tweet,Dr. Shah,@ankitatIIMA,21,4,162,782,19680,28,2025-09-14 20:19:21,https://pbs.twimg.com/media/G00Jq3faAAA0Nhv.jpg,
1967165197023674665,@pankaj145492 Because they have no clue.,https://x.com/ankitatIIMA/status/1967165197023674665,tweet,Dr. Shah,@ankitatIIMA,2,0,5,44,1566,0,2025-09-14 15:25:05,,
1967164924729360453,@pankaj145492 The govt also wants the same. That we don't watch the match. But they have to play.,https://x.com/ankitatIIMA/status/1967164924729360453,tweet,Dr. Shah,@ankitatIIMA,2,0,8,47,1553,0,2025-09-14 15:24:00,,
1967164451263766792,"@SahajaGanga @followerofds They can't do it ""anyways"" without an understanding.",https://x.com/ankitatIIMA/status/1967164451263766792,tweet,Dr. Shah,@ankitatIIMA,2,0,2,22,516,0,2025-09-14 15:22:07,,
1967163641838579796,@archieposts Yes unknown gunmen stopped 100 mini pahalgams. You seem to be totally dumb,https://x.com/ankitatIIMA/status/1967163641838579796,tweet,Dr. Shah,@ankitatIIMA,2,0,11,54,895,0,2025-09-14 15:18:55,,
1967151410879070619,@archieposts For the armed forces only I am saying. We don't have to spill the blood of our soldiers for gali level terrorists in pak if we get those by just playing cricket at a third venue.,https://x.com/ankitatIIMA/status/1967151410879070619,tweet,Dr. Shah,@ankitatIIMA,4,1,9,58,1823,0,2025-09-14 14:30:18,,
1967147789898707059,@altruisticsoni Read all the posts. Already explained when I predicted that the match will happen.,https://x.com/ankitatIIMA/status/1967147789898707059,tweet,Dr. Shah,@ankitatIIMA,3,1,4,60,2717,0,2025-09-14 14:15:55,,
1967144288158101651,"@Call_It_Flash Smooth means local terrorists who would burn down pak cities during the handover process to get it stopped, are being eliminated with this.",https://x.com/ankitatIIMA/status/1967144288158101651,tweet,Dr. Shah,@ankitatIIMA,2,0,8,48,917,1,2025-09-14 14:02:00,,
1967143947375190445,"@dHARMAtron99 Obviously, how do you think such a huge list got completed till now.",https://x.com/ankitatIIMA/status/1967143947375190445,tweet,Dr. Shah,@ankitatIIMA,1,0,4,52,1991,0,2025-09-14 14:00:39,,
1967142996396396671,"💥Keyboard nationalism. Totally free of cost.

We should care for the lives of the unknown gunmen and their next hitlist more than hating cricket at some third venue.",https://x.com/ankitatIIMA/status/1967142996396396671,tweet,Dr. Shah,@ankitatIIMA,71,10,184,860,45774,19,2025-09-14 13:56:52,,
1967142180566536643,"@harshal_lfc Read 100 times and write 500 times until you understand what is written.

We aren't getting pok for a cricket match. How dumb.",https://x.com/ankitatIIMA/status/1967142180566536643,tweet,Dr. Shah,@ankitatIIMA,5,0,4,78,3123,1,2025-09-14 13:53:38,,
1967138874016362748,@pushtiw999 I care for unknown gunmen so I am going to support cricket but not going to watch it.,https://x.com/ankitatIIMA/status/1967138874016362748,tweet,Dr. Shah,@ankitatIIMA,7,0,5,50,1229,1,2025-09-14 13:40:29,,
1967129052982268366,@archieposts So? Who doesn't know that terrorists would attack? What is the correlation? Kuch bhi,https://x.com/ankitatIIMA/status/1967129052982268366,tweet,Dr. Shah,@ankitatIIMA,2,0,2,22,925,0,2025-09-14 13:01:28,,
1967128819061674423,@thinker_karan Will ask the HM to courier you the entire document.,https://x.com/ankitatIIMA/status/1967128819061674423,tweet,Dr. Shah,@ankitatIIMA,1,0,2,27,723,0,2025-09-14 13:00:32,,
1967125588013146209,@amit_karia99 But who told you there will not be a terror attack?,https://x.com/ankitatIIMA/status/1967125588013146209,tweet,Dr. Shah,@ankitatIIMA,1,0,2,18,646,0,2025-09-14 12:47:42,,
1967104792138051653,💥Ese bhi kon dekhta hai?,https://x.com/ankitatIIMA/status/1967104792138051653,tweet,Dr. Shah,@ankitatIIMA,55,2,99,691,29908,4,2025-09-14 11:25:04,,
1967104590849208404,@amit_karia99 Why will they? Do not have any delusions.,https://x.com/ankitatIIMA/status/1967104590849208404,tweet,Dr. Shah,@ankitatIIMA,1,0,3,19,797,0,2025-09-14 11:24:16,,
